Date,Close,High,Low,Open,Volume
2024-01-26,190.6197967529297,192.93790105900956,190.14429166563914,192.45249496932922,44594000
2024-01-29,189.93626403808594,190.40186815816608,187.80638442872507,190.21364328629937,47145600
2024-01-30,186.28079223632812,190.00562537270864,185.71613271012245,189.1536704655616,55859400
2024-01-31,182.6748504638672,185.34960286351708,182.62533032879216,185.29015149256165,55467800
2024-02-01,185.11183166503906,185.2009860420896,182.10027903950464,182.2686867903897,64885400
2024-02-02,184.11126708984375,185.5774165638072,177.57300802816712,178.1773017145222,102551700
2024-02-05,185.92416381835938,187.47948303370234,184.10138145528597,186.38976797097564,69668800
2024-02-06,187.52899169921875,187.53889270164484,185.02266252630227,185.1118168962398,43490800
2024-02-07,187.63795471191406,189.26261088240534,186.84543618864265,188.85644306077413,53439000
2024-02-08,186.55816650390625,187.7667388029894,185.5972401965417,187.61814818475136,40962000
2024-02-09,187.3219451904297,188.45272038917548,186.47881682618166,187.12355136214254,45155200
2024-02-12,185.6356658935547,187.14337102036012,185.27857823550397,186.89539390047275,41781900
2024-02-13,183.54275512695312,184.70330147289806,182.02513622573113,184.26685928046126,56529500
2024-02-14,182.6599578857422,184.02879656144881,180.9638026996327,183.82050423664703,54630500
2024-02-15,182.37228393554688,182.99719108766072,179.8825992332856,182.06479474492625,65434500
2024-02-16,180.8348388671875,183.35429496994237,180.2000180232841,181.9358579237584,49752500
2024-02-20,180.09091186523438,180.95386745060242,178.54353696650966,180.31904659124555,53665600
2024-02-21,180.84478759765625,181.41016764298323,179.19821564929268,180.46785747722194,41371400
2024-02-22,182.878173828125,183.463411373256,180.98364000764028,181.99537582737872,52292200
2024-02-23,181.0431365966797,183.54273502175582,180.7554746671187,183.51297897874218,45119700
2024-02-26,179.69415283203125,181.28119739799624,179.18826979539264,180.7654158601022,40867400
2024-02-27,181.15223693847656,182.43179212202116,178.10707086865912,179.63461828889808,54318900
2024-02-28,179.95204162597656,181.6382830805114,178.67248629654023,181.03321827875988,48953900
